I'm 19.	Tengo diecinueve.
They are older than Tom.	Ellas son mayores que Tom.
They are sensible girls.	Son chicas sensatas.
They're all chasing Tom.	Todos ellos están persiguiendo a Tom.
They're always fighting.	Ellos siempre están peleando.
They're always together.	Ellos siempre están juntos.
They're looking for Tom.	Están buscando a Tom.
They're looking for you.	Ellos te están buscando.
They're looking for you.	Os están buscando.
They're not coming back.	No van a volver.
They're right behind me.	Están justo detrás de mí.
They're speaking French.	Ellos están hablando en francés.
They're taking pictures.	Ellos están sacando fotos.
They're waiting for you.	Te están esperando.
They're waiting outside.	Ellos están esperando afuera.
We are all in agreement.	Estamos todos de acuerdo.
We are expecting a baby.	Estamos esperando un bebé.
We are glad to help you.	Estamos encantados de ayudaros.
We are having a meeting.	Estamos en una reunión.
We are having breakfast.	Estamos desayunando.
We're all tired of this.	Todos estamos cansados de esto.
We're feeling confident.	Nosotros estamos sintiéndonos seguro.
We're going home by car.	Vamos a ir en carro a la casa.
We're having lunch here.	Estamos almorzando aquí.
We're here to play golf.	Estamos aquí para jugar al golf.
We're looking into that.	En eso estamos.
We're lucky to be alive.	Tenemos suerte de estar vivos.
We're not gonna make it.	No vamos a conseguirlo.
We're not the champions.	No somos los campeones.
We're not young anymore.	Ya no somos jóvenes.
We're proud of our team.	Estamos orgullosos de nuestro equipo.
We're smarter than that.	Somos más listos que eso.
We're very proud of Tom.	Estamos muy orgullosos de Tomás.
We're very proud of you.	Estamos muy orgullosos de ti.
We're very proud of you.	Estamos muy orgullosas de ti.
You are a patient woman.	Eres una mujer paciente.
You are a tennis player.	Eres un jugador de tenis.
You are blinded by love.	El amor te ciega.
You are free to go home.	Estás libre de ir a tu casa.
You are only young once.	Sólo se es joven una vez.
You're a beautiful girl.	Eres una chica hermosa.
You're breaking the law.	Estás rompiendo la ley.
You're completely crazy.	Estás completamente loco.
You're completely right.	Tienes toda la razón.
You're driving too fast.	Estás conduciendo muy rápido.
You're driving too fast.	Estás conduciendo demasiado rápido.
You're driving too fast.	Estás manejando demasiado rápido.
You're driving too fast.	Usted está manejando muy rápido.
You're finished already.	Ya terminaste.
You're finished already.	Ya terminó.
You're finished already.	Ya terminaron.
You're finished already.	Ya terminasteis.
You're finished already.	Ya has terminado.
You're finished already.	Ya ha terminado.
You're finished already.	Ya han terminado.
You're finished already.	Ya habéis terminado.
You're going to be seen.	Vas a ser visto.
You're going to like it.	Te va a gustar.
You're hiding something.	Estás ocultando algo.
You're not easy to find.	No eres fácil de encontrar.
You're not going to die.	No vas a morir.
You're not the only one.	No eres el único.
You're not the only one.	No eres la única.
You're not welcome here.	No eres bienvenido aquí.
You're perfectly normal.	Eres perfectamente normal.
You're really beautiful.	Eres realmente hermoso.
You're really beautiful.	Eres realmente hermosa.
You're really beautiful.	Eres hermosísima.
You're really wonderful.	Eres realmente maravilloso.
You're really wonderful.	Eres realmente maravillosa.
You're scaring the kids.	Estás asustando a los niños.
You're talking nonsense.	Lo que dices no tiene sentido.
You're taller than I am.	Eres más alto que yo.
You're the problem, Tom.	Tú eres el problema, Tom.
You're too young to die.	Eres demasiado joven para morir.
You're too young to die.	Sois demasiado jóvenes para morir.
You're very intelligent.	Eres muy inteligente.
You're very intelligent.	Sos muy inteligente.
You're very intelligent.	Son muy inteligentes.
You're wasting our time.	Están desperdiciando nuestro tiempo.
You're wrong about that.	Estás equivocado respecto a eso.
He is a cheerful old man.	Él es un anciano alegre.
He is a man of few words.	Él es poco hablador.
He is a quick-witted man.	Él es un hombre ingenioso.
He is a typical Japanese.	Él es un típico japonés.
He is afraid of swimming.	Él tiene miedo de nadar.
He is after a better job.	Él busca un mejor trabajo.
He is almost always home.	Él casi siempre está en la casa.
He is always complaining.	Él siempre se está quejando.
He is always complaining.	Él se pasa quejando.
He is always talking big.	Él siempre está alardeando.
He is being very careful.	Él está siendo muy cuidadoso.
He is busy with his work.	Él está ocupado con su trabajo.
He is famous as a doctor.	Es un famoso médico.
He is fresh from college.	Él está recién salido de la universidad.
He is in the tenth grade.	Él está en el décimo grado.
He is known to everybody.	Él es conocido por todos.
He is liked by everybody.	Él es querido por todos.
He is not coming, either.	Él tampoco vendrá.
He is opening the window.	Él está abriendo la ventana.
He is painting a picture.	Él está pintando un cuadro.
He is playing over there.	Él está jugando por allá.
He is responsible for it.	Él es responsable de eso.
He is rich and I am poor.	Él es rico y yo pobre.
He is seeking employment.	Él está buscando empleo.
He is selfish and greedy.	Es egoísta y avaricioso.
He is stronger than I am.	Él es más fuerte que yo.
He is stronger than ever.	Está más fuerte que nunca.
He is the same age as me.	Él tiene la misma edad que yo.
He is the same age as me.	Tiene la misma edad que yo.
He is tired, and so am I.	Él está cansado, y yo también.
He is very fond of music.	A él le gusta mucho la música.
He is very good at poker.	Él es muy bueno en el póquer.
He is wearing sunglasses.	Él está usando lentes.
He is wearing sunglasses.	Él lleva gafas de sol.
He is young and immature.	Él es joven e inmaduro.
He's a cold-hearted jerk.	Es un idiota sin corazón.
He's a man of importance.	Es un hombre de categoría.
He's a volleyball player.	Él es un jugador de voleibol.
He's also writing a book.	También está escribiendo un libro.
He's an excellent author.	Él es un autor excelente.
He's ashamed of his body.	A él le avergüenza su cuerpo.
He's at church right now.	En este momento está en la iglesia.
He's been dead ten years.	Ha estado muerto diez años.
He's feeling much better.	Se siente mucho mejor.
He's mad at his daughter.	Él está enfadado con su hija.
He's nervous and excited.	Está nervioso y emocionado.
He's often late for work.	A menudo llega tarde a trabajar.
He's older, but no wiser.	Es mayor, pero no más sabio.
He's our English teacher.	Él es nuestro profesor de inglés.
He's reading a novel now.	Ahora está leyendo una novela.
He's stupid and arrogant.	Es estúpido y arrogante.
He's very angry with her.	Él está muy enojado con ella.
He's very angry with you.	Está muy enfadado contigo.
I am a Polish journalist.	Soy un periodista polaco.
I am able to drive a car.	Soy capaz de conducir un coche.
I am about to leave here.	Estoy a punto de salir de aquí.
I am an American citizen.	Soy ciudadano estadounidense.
I am free this afternoon.	Estoy libre esta tarde.
I am glad to be with you.	Estoy feliz de estar contigo.
I am listening to a song.	Estoy escuchando una canción.
I am painting the garage.	Estoy pintando la cochera.
I am ready to follow you.	Estoy listo para seguirte.
I am riding a motorcycle.	Estoy andando en una motocicleta.
I am sharpening my sword.	Estoy afilando mi espada.
I am squeezing an orange.	Estoy exprimiendo una naranja.
I am taking tomorrow off.	Mañana me tomaré el día libre.
I am thrilled to be here.	Estoy contento de estar aquí.
I am washing the windows.	Estoy limpiando las ventanas.
I am willing to help you.	Estoy dispuesto a ayudarte.
I'm Tom and this is Mary.	Soy Tom y esta es María.
I'm a beginner in French.	Soy principiante en francés.
I'm a great baseball fan.	Soy un gran aficionado del béisbol.
I'm a little bit jealous.	Estoy un poquito celoso.
I'm a member of the team.	Soy miembro del equipo.
I'm a university student.	Soy universitario.
I'm able to speak French.	Puedo hablar francés.
I'm against the marriage.	Estoy en contra del matrimonio.
I'm already stressed out.	Ya estoy en el horno.
I'm also learning French.	También estoy aprendiendo francés.
I'm as tall as my father.	Soy tan grande como mi padre.
I'm at my parents' house.	Estoy en casa de mis padres.
I'm at my parents' place.	Estoy donde mis padres.
I'm completely exhausted.	Estoy totalmente exhausto.
I'm crazy about football.	Estoy loco por el fútbol americano.
I'm delighted to be here.	Estoy encantado de estar aquí.
I'm doing the best I can.	Estoy haciendo lo mejor que puedo.
I'm elegible to vote now.	Ahora estoy habilitado para votar.
I'm feeding the goldfish.	Estoy dándole de comer al pez dorado.
I'm feeding the goldfish.	Le doy de comer al pez dorado.
I'm feeling fine, thanks.	Me siento bien, gracias.
I'm glad I'm not a woman.	Me alegro de no ser una mujer.
I'm glad Tom invited you.	Me alegro de que Tom te haya invitado.
I'm glad to see you back.	Me alegra verte de vuelta.
I'm glad you reminded me.	Estoy contento de que me recordaste.
I'm glad you reminded me.	Estoy contento de que me hayas recordado.
I'm glad you're all here.	Me alegro de que estéis todos aquí.
I'm going out for a walk.	Voy a salir a dar un paseo.
I'm going out in an hour.	Voy a salir en una hora.
I'm going to be an uncle.	Voy a ser tío.
I'm going to be too busy.	Voy a estar demasiado ocupado.
I'm going to be too busy.	Voy a estar demasiado ocupada.
I'm going to get married.	Me voy a casar.
I'm going to go sit down.	Voy a ir a sentarme.
I'm going to go with Tom.	Voy a ir con Tom.
I'm going to have a baby.	Voy a tener un bebé.
I'm going to pick Tom up.	Voy a recoger a Tom.
I'm going to sell my car.	Voy a vender mi carro.
I'm going to sleep on it.	Lo voy a consultar con la almohada.
I'm going to take a bath.	Voy a bañarme.
I'm going to take a bath.	Voy a tomar un baño.
I'm going to take a look.	Le voy a dar un vistazo.
I'm going to take a look.	Voy a echar un vistazo.
I'm going to wash my car.	Voy a lavar mi coche.
I'm interested in French.	Me interesa el francés.
I'm just being realistic.	Solo estoy siendo realista.
I'm leaving you tomorrow.	Mañana me despido de ti.
I'm looking for somebody.	Estoy buscando a alguien.
I'm not a native speaker.	No soy hablante nativo.
I'm not a patient person.	No soy una persona paciente.
I'm not a violent person.	No soy una persona violenta.
I'm not afraid of ghosts.	Yo no les temo a los fantasmas.
I'm not any good at math.	No soy nada bueno en matemáticas.
I'm not any good at math.	No se me dan nada bien las matemáticas.
I'm not as rich as I was.	No soy tan rico como solía ser.
I'm not convinced at all.	No estoy nada convencido.
I'm not drinking tonight.	Esta noche no voy a beber.
I'm not fond of her face.	No me gusta su cara.
I'm not here to help you.	No estoy aquí para ayudarte.
I'm not here to help you.	No estoy aquí para ayudarlos.
I'm not here to help you.	No estoy aquí para ayudarlas.
I'm not here to help you.	No estoy aquí para ayudaros.
I'm not hungry right now.	Ahora no tengo hambre.
I'm not inspired anymore.	Ya no estoy inspirada.
I'm not much of a singer.	No soy muy buen cantante.
I'm not much of a writer.	No soy muy buen escritor.
I'm not much of an actor.	No soy muy buen actor.
I'm not really an expert.	No soy un experto realmente.
I'm not that kind of guy.	No soy esa clase de tipo.
I'm only thinking of you.	Sólo estoy pensando en ti.
I'm painting Easter eggs.	Estoy pintando huevos de Pascua.
I'm proud of my children.	Estoy orgullosa de mis hijos.
I'm proud to be Canadian.	Estoy orgulloso de ser canadiense.
I'm really proud of this.	Estoy muy orgulloso de esto.
I'm running out of ideas.	Me estoy quedando sin ideas.
I'm so glad I could help.	Estoy muy contento de poder ayudar.
I'm so happy you're here.	Estoy tan feliz de que estés aquí.
I'm sorry I bothered you.	Siento haberte molestado.
I'm sorry I bothered you.	Siento haberos molestado.
I'm sorry I bothered you.	Siento haberte importunado.
I'm sorry I bothered you.	Siento haberos importunado.
I'm sorry for being late.	Lamento llegar tarde.
I'm sorry for being late.	Disculpe la tardanza.
I'm sorry for being late.	Siento mucho el retraso.
I'm sorry for what I did.	Lamento lo que hice.
I'm sorry to trouble you.	Lamento molestarte.
I'm sorry to trouble you.	Lamento molestarle.
I'm sorry, I can't do it.	Lo siento, no puedo hacerlo.
I'm sorry. I didn't know.	Perdón. No lo sabía.
I'm starting to enjoy it.	Comienzo a disfrutarlo.
I'm starting to like you.	Estás empezando a gustarme.
I'm still married to Tom.	Todavía estoy casada con Tom.
I'm studying art history.	Estoy estudiando historia del arte.
I'm sure I'll find a way.	Estoy seguro de que encontraré una manera.
I'm sure that he's happy.	Estoy seguro de que es feliz.
I'm sure that he's happy.	Estoy segura de que él es feliz.
I'm sure you'll like Tom.	Estoy seguro que a usted le gustará Tom.
I'm sure you're mistaken.	Estoy seguro de que estás equivocado.
I'm taking a dance class.	Estoy tomando un curso de danza.
I'm talking on the phone.	Estoy hablando por teléfono.
I'm the man of the house.	Soy el hombre de la casa.
I'm thinking of the plan.	Estoy pensando en el plan.
I'm tired of translating.	Estoy cansado de traducir.
I'm too busy to help him.	Estoy demasiado ocupado para ayudarle.
